# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 216.434900 242.806837 2289.912373 108.217450 13.951486 2.777476 -nan -nan -nan
28673 10 220.279638 1956.293144 3788.687698 108.217450 176.210146 202.493390 167.500792 0.001294 34.003986
29697 10 219.855675 1969.438019 3766.463188 108.217450 174.211827 196.127914 168.195910 0.001222 33.453404
30721 10 221.211757 1958.252597 3775.746286 108.217450 173.736524 196.223912 168.939850 0.001147 32.945936
31745 10 221.079456 1956.506629 3776.482960 108.217450 173.965378 196.026236 169.650790 0.001077 32.463037
32769 10 223.064968 1965.424898 3794.170158 108.217450 173.724497 196.971402 170.278096 0.001018 31.992631
33793 10 222.954718 1966.023258 3789.509566 108.217450 173.329154 196.372363 170.869719 0.000964 31.542009
34817 10 224.755811 2000.103714 3812.756400 108.217450 173.910921 196.482615 171.244857 0.000930 31.082691
35841 10 223.407748 1960.934693 3799.186559 108.217450 173.901009 197.006705 171.833619 0.000880 30.679183
36865 10 225.657861 1968.994009 3819.665102 108.217450 173.676276 196.932647 172.359297 0.000836 30.284889
37889 10 225.565652 1966.802028 3817.364874 108.217450 173.523151 197.647396 172.871910 0.000794 29.907800
38913 10 228.312896 1965.191367 3849.529977 108.217450 174.044558 197.879372 173.383298 0.000753 29.548808
39937 10 227.060048 1969.342802 3830.934715 108.217450 173.370470 197.650737 173.841496 0.000718 29.197249
40961 10 227.949069 1971.116834 3864.354670 108.217450 176.095998 197.334011 174.275067 0.000686 28.857388
41985 10 227.569205 1972.897882 3913.578543 108.217450 181.987388 200.325088 174.679644 0.000656 28.527593
43009 10 228.381051 1992.848224 3871.583098 108.217450 176.419177 197.924809 174.976044 0.000635 28.195963
44033 10 229.017497 1988.842119 3853.954032 108.217450 173.753229 197.207833 175.289572 0.000613 27.879552
45057 10 229.395356 1970.209773 3857.346742 108.217450 173.710354 197.205049 175.683462 0.000586 27.588109
46081 10 229.707064 1970.569590 3864.068018 108.217450 174.110820 197.267748 176.060388 0.000561 27.305505
47105 10 229.385333 1980.060160 3936.229021 108.217450 182.486188 203.060802 176.378138 0.000540 27.024346
48129 10 232.280914 2004.897609 3908.015900 108.217450 176.134085 198.133287 176.590276 0.000527 26.739981
49153 10 230.912805 1977.446219 3884.532529 108.217450 175.044943 197.514536 176.913445 0.000507 26.480239
50177 10 231.196449 1983.489955 3880.501367 108.217450 174.281875 197.097135 177.200871 0.000489 26.224313
51201 10 232.471347 1984.243668 3894.498178 108.217450 174.420523 197.436691 177.481742 0.000472 25.976309
52225 10 233.562827 1977.511367 3905.703645 108.217450 174.452819 198.250556 177.785615 0.000454 25.740455
53249 10 232.830162 1981.158657 3901.604328 108.217450 174.811412 197.565764 178.061018 0.000439 25.508121
54273 10 235.704695 2007.000388 3925.142825 108.217450 174.232875 197.659535 178.238119 0.000429 25.270692
55297 10 232.803101 1974.688953 3900.496811 108.217450 174.718423 197.458519 178.527214 0.000413 25.055851
56321 10 234.178226 1998.568224 3919.755581 108.217450 175.330369 198.222380 178.721004 0.000402 24.834150
57345 10 234.812668 1983.945991 3920.243691 108.217450 174.679668 197.910109 178.968433 0.000389 24.626373
58369 10 234.880823 1992.025354 3919.677404 108.217450 174.541020 197.569996 179.179085 0.000378 24.419635
59393 10 235.377953 1986.544898 3928.149659 108.217450 174.930015 199.441285 179.406276 0.000366 24.221318
60417 10 212.926927 2092.187997 3800.167790 108.217450 185.655391 199.923390 179.175868 0.000378 24.029337
61441 10 257.266700 2017.920206 4135.887793 108.217450 173.691199 198.584544 179.387073 0.000367 23.840079
62465 10 237.108887 2014.163668 3972.191755 108.217450 177.900321 198.786674 179.537303 0.000360 23.648473
63489 10 237.206108 1992.098520 3949.289705 108.217450 175.247625 196.820612 179.761616 0.000349 23.471839
64513 10 260.343693 2791.764953 4698.908392 108.217450 232.830162 267.687463 177.407596 0.000461 25.228641
65537 10 268.808933 2790.464999 4784.190216 108.217450 232.900099 278.604037 175.275439 0.000560 26.551730
