┄┄┄┄┄system┄┄┄┄┬┄┄┄┄┄┄memory┄usage┄┄┄┄┄┬┄┄total┄cpu┄usage┄┄┬┄┄net/ib0┄┄ net/ens786f ┄┄┄net/lo┄┄ ┄net/total┄
      time     │ used  free  cach  avai│usr sys idl wai stl│ recv  send  recv  send  recv  send  recv  send
Jun-07 16:14:27│37.0G 52.3G  154G  212G│  0   0 100   0   0│   0     0 ┊   0     0 ┊   0     0 ┊   0     0 
Jun-07 16:15:43│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  14M  132M┊   0     0 ┊  14M  132M
Jun-07 16:15:44│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  56M  285M┊  18k   18k┊  56M  285M
Jun-07 16:15:45│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  20M  183M┊   0     0 ┊  20M  183M
Jun-07 16:15:46│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  15M  141M┊   0     0 ┊  15M  141M
Jun-07 16:15:47│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  15M  140M┊   0     0 ┊  15M  140M
Jun-07 16:15:48│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  15M  140M┊   0     0 ┊  15M  140M
Jun-07 16:15:49│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  63M  340M┊  18k   18k┊  63M  340M
Jun-07 16:15:50│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  15M  141M┊   0     0 ┊  15M  141M
Jun-07 16:15:51│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  16M  145M┊   0     0 ┊  16M  145M
Jun-07 16:15:52│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  15M  139M┊   0     0 ┊  15M  139M
Jun-07 16:15:53│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  30M  150M┊  24k   24k┊  30M  150M
Jun-07 16:15:54│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  49M  338M┊   0     0 ┊  49M  338M
