┄┄┄┄┄system┄┄┄┄┬┄┄┄┄┄┄memory┄usage┄┄┄┄┄┬┄┄total┄cpu┄usage┄┄┬┄┄net/ib0┄┄ ┄┄┄net/lo┄┄ ┄net/total┄
      time     │ used  free  cach  avai│usr sys idl wai stl│ recv  send  recv  send  recv  send
Jul-08 11:28:49│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 487M 4830M┊   0     0 ┊ 487M 4830M
Jul-08 11:28:50│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 531M 4873M┊   0     0 ┊ 531M 4873M
Jul-08 11:28:51│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 487M 4873M┊   0     0 ┊ 487M 4873M
Jul-08 11:28:52│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 487M 4841M┊   0     0 ┊ 487M 4841M
Jul-08 11:28:53│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 487M 4863M┊   0     0 ┊ 487M 4863M
Jul-08 11:28:54│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 531M 4873M┊   0     0 ┊ 531M 4873M
Jul-08 11:28:55│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 487M 4873M┊   0     0 ┊ 487M 4873M
Jul-08 11:28:56│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 487M 4830M┊2264b 2264b┊ 487M 4830M
Jul-08 11:28:57│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 487M 4831M┊   0     0 ┊ 487M 4831M
Jul-08 11:28:58│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 531M 4873M┊   0     0 ┊ 531M 4873M
Jul-08 11:28:59│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 487M 4831M┊   0     0 ┊ 487M 4831M
Jul-08 11:29:00│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 487M 4830M┊   0     0 ┊ 487M 4830M
Jul-08 11:29:01│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 487M 4830M┊   0     0 ┊ 487M 4830M
Jul-08 11:29:02│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 487M 4787M┊   0     0 ┊ 487M 4787M
Jul-08 11:29:03│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 531M 4873M┊   0     0 ┊ 531M 4873M
Jul-08 11:29:04│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 487M 4830M┊   0     0 ┊ 487M 4830M
Jul-08 11:29:05│36.2G 42.4G  170G  213G│  2   1  97   0   0│4859M 6933M┊3512b 3512b┊4859M 6933M
Jul-08 11:29:06│36.3G 42.4G  170G  213G│  1   2  97   0   0│2387M   17G┊2224b 2224b┊2387M   17G
Jul-08 11:29:07│36.2G 42.4G  170G  213G│  1   1  97   0   0│1859M   18G┊   0     0 ┊1859M   18G
Jul-08 11:29:08│36.2G 42.4G  170G  213G│  2   1  97   0   0│1753M   17G┊2240b 2240b┊1753M   17G
Jul-08 11:29:09│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 531M 4988M┊   0     0 ┊ 531M 4988M
Jul-08 11:29:10│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 478M 4950M┊   0     0 ┊ 478M 4950M
Jul-08 11:29:11│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 531M 4968M┊   0     0 ┊ 531M 4968M
Jul-08 11:29:12│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 531M 4969M┊   0     0 ┊ 531M 4969M
Jul-08 11:29:13│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 479M 4969M┊   0     0 ┊ 479M 4969M
Jul-08 11:29:14│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 531M 4969M┊   0     0 ┊ 531M 4969M
