# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1048576 10 277.519875 1331.084637 4862.683435 138.759937 93.182805 113.057071 -nan -nan -nan
20971520 10 4231.788843 22562.462109 79136.022272 138.759937 1975.009338 2050.122787 15.505905 0.000096 1.534010
22020096 10 4376.307768 23683.379648 82180.290254 138.759937 2080.425290 2153.626192 15.003392 0.000097 1.853251
23068672 10 4600.661165 24800.375646 86370.697237 138.759937 2184.567816 2255.365542 14.795239 0.000097 1.865582
24117248 10 4844.835573 25923.507264 90821.527590 138.759937 2285.712420 2418.043078 14.942841 0.000097 1.851889
25165824 10 5062.031541 27066.674159 94885.266366 138.759937 2387.312113 2496.884706 14.924209 0.000097 1.809841
26214400 10 5268.346617 28186.713684 98785.435610 138.759937 2488.267740 2626.883943 14.886621 0.000097 1.772360
27262976 10 5476.500570 29306.001850 102716.395320 138.759937 2589.681896 2732.267060 14.856763 0.000097 1.736589
28311552 10 5686.988591 30430.223843 106689.372070 138.759937 2692.004167 2836.689746 14.811841 0.000097 1.705215
29360128 10 5812.461670 31552.142240 109507.586814 138.759937 2802.988067 2941.574965 14.098880 0.000097 2.471583
30408704 10 6036.645558 32667.526008 113660.262071 138.759937 2903.211275 3045.749077 13.662905 0.000097 2.677431
31457280 10 6242.565433 33788.778753 117563.096781 138.759937 3005.099778 3150.267372 13.274675 0.000097 2.823138
32505856 10 6447.881079 34912.791241 121453.294572 138.759937 3106.557659 3255.604718 12.903645 0.000097 2.948811
33554432 10 6574.436438 36030.705250 124283.345833 138.759937 3217.113053 3360.636163 12.044344 0.000097 3.735614
34603008 10 6822.940919 37148.783052 128756.941210 138.759937 3313.810875 3464.669726 11.607758 0.000097 3.871003
35651584 10 7061.737733 38273.604037 133110.121608 138.759937 3412.769386 3569.033234 11.416366 0.000097 3.848372
36700160 10 7257.541407 39389.896291 136881.335240 138.759937 3516.331649 3673.337048 11.211512 0.000097 3.835098
37748736 10 7460.606310 40510.952864 140746.184915 138.759937 3618.599270 3777.513548 11.011766 0.000097 3.822965
38797312 10 7668.684079 41627.035615 144677.623628 138.759937 3720.189387 3883.762814 10.877201 0.000097 3.788954
39845888 10 7918.117997 42750.286269 149174.486838 138.759937 3817.975098 3988.494054 10.998309 0.000097 3.753609
40894464 10 8092.582706 43867.389877 152638.521451 138.759937 3921.785802 4092.019554 10.944153 0.000097 3.706204
41943040 10 8194.540831 44989.640148 155146.608880 138.759937 4036.196314 4196.831250 10.309149 0.000097 4.148504
42991616 10 8461.921650 46109.111630 159863.914423 138.759937 4129.561166 4300.638327 10.090158 0.000097 4.151741
44040192 10 8638.785183 47232.166113 163388.412930 138.759937 4236.225309 4405.165612 9.732077 0.000097 4.253203
45088768 10 8832.053855 48350.429612 167114.442197 138.759937 4338.851256 4510.477527 9.364582 0.000097 4.362837
46137344 10 9006.219543 49474.271640 170598.785396 138.759937 4445.400224 4615.247765 8.865440 0.000097 4.604337
47185920 10 9233.443149 50594.888254 174782.118751 138.759937 4544.132566 4719.929786 8.531257 0.000097 4.680668
48234496 10 9528.496629 51712.554666 179886.689188 138.759937 4635.943118 4824.459731 8.683899 0.000097 4.654811
49283072 10 9614.820021 52835.554868 182167.740613 138.759937 4750.316702 4928.407264 8.250021 0.000097 4.827581
50331648 10 9818.401065 53946.923771 186046.304250 138.759937 4853.276533 5032.683211 7.899242 0.000097 4.920893
51380224 10 10019.345213 55066.409062 189885.641062 138.759937 4956.126164 5137.130899 7.573724 0.000097 4.994605
52428800 10 10227.677244 56192.199480 193821.225103 138.759937 5057.767229 5240.999522 7.276108 0.000097 5.048777
53477376 10 10427.224379 57309.254521 197629.563850 138.759937 5159.423373 5346.767788 7.003661 0.000097 5.087233
54525952 10 10630.948268 58426.246710 201511.137682 138.759937 5262.487533 5451.057275 6.772271 0.000097 5.102167
